name,pro,flag,optical_pro,original_pro
amalfi-coast,0.3773876376289583,1,0.0030625154461361628,0.7517127598117804
aquarium-nyc,0.0010759737921215218,1,0.002151916659542353,3.092470069095595e-08
art-museum,0.12625080106694314,1,2.9926785874106246e-05,0.2524716753480122
backward-jogger,0.0372136203966768,1,0.0726862662977079,0.0017409744956456972
basketball-explosion,0.6945266103271548,1,0.45214996497280957,0.9369032556815
big-eyed-fluff-ball,0.5718159392664821,1,0.14369189575364022,0.999939982779324
big-sur,0.003068548035061701,1,0.003753455694435789,0.0023836403756876123
birds-over-river,0.0015500886335036313,1,0.003097895491510127,2.2817754971357195e-06
cat-on-bed,0.4940558029166591,1,0.05170767073482152,0.9364039350984967
chair-archaeology,6.195308935495709e-05,1,0.00012389809893961122,8.07977030294603e-09
chameleon,0.02681575706126898,1,0.05351403223450363,0.00011748188803432652
chinese-new-year-dragon,0.0031184502474182834,1,0.006232716985999079,4.183508837487203e-06
closeup-man-in-glasses,0.007085613342829634,1,0.012465609789217003,0.0017056168964422651
closeup-of-womans-eye,0.02594743195197,1,0.05149386647578996,0.00040099742815003636
cloud-man,0.5401041823828499,1,0.18273632907733312,0.8974720356883665
dancing-kangaroo,0.5849889263985033,1,0.26441031286862743,0.9055675399283791
dogs-downtown,0.32183775634284345,1,0.45025502896564773,0.19342048372003917
flower-blooming,0.3379794970532181,1,0.06145871604269691,0.6145002780637393
gold-rush,0.00025547895546258346,1,0.0005106776541709066,2.802567542602996e-07
grandma-birthday,0.07352502778817113,1,0.006591775725454384,0.14045827985088788
happy-cat,3.5016242139262185e-05,1,7.003246733558757e-05,1.6942936793288978e-11
italian-pup,0.0636031661599625,1,0.127145959967197,6.037235272802075e-05
lagos,0.30848611686672445,1,0.0024135475579614546,0.6145586861754875
man-on-the-cloud,0.19851452735782896,1,0.3877108844483064,0.00931817026735151
mitten-astronaut,0.3675238599463547,1,0.16181254230372527,0.5732351775889841
monster-with-melting-candle,0.5210235421998256,1,0.09141373433839843,0.9506333500612527
octopus-and-crab,0.41474389869413725,1,4.346972769750706e-07,0.8294873626909975
origami-undersea,0.20445895389788826,1,0.0799758526295769,0.3289420551661996
otter-on-surfboard,0.5053676395755903,1,0.010763907541463004,0.9999713716097176
paper-airplanes,0.03170688957517207,1,0.002640168114630924,0.060773611035713215
petri-dish-pandas,0.0705701834203494,1,0.01964294974253868,0.12149741709816013
photoreal-train,5.9222295167062795e-06,1,1.0550743127846824e-09,1.1843403959099774e-05
puppy-cloning,0.49970440359797946,1,0.00044107023650148843,0.9989677369594574
robot-video-game,0.415101175802376,1,0.11551375797749981,0.7146885936272521
santorini,0.4962857741967784,1,0.0003981569992396267,0.9921733913943172
ships-in-coffee,0.023288565123496308,1,0.037950015992170745,0.00862711425482187
snow-dogs,0.005195568389894624,1,0.01034206649717469,4.9070282614557254e-05
stack-of-tvs,0.5036564122127631,1,0.012527748632025434,0.9947850757935008
suv-in-the-dust,0.09700583140388502,1,5.012742683211297e-06,0.19400665006508683
tiny-construction,0.15948848480922054,1,9.001242549239024e-06,0.31896796837589186
tokyo-in-the-snow,0.05568684642689611,1,0.0023312410655354715,0.10904245178825674
tokyo-walk,0.30104039176010056,1,0.035792607851728754,0.5662881756684723
train-window,0.14172372962230487,1,0.0015994250548599213,0.2818480341897498
victoria-crowned-pigeon,0.20052448909542836,1,0.09325992466282076,0.3077890535280359
vlogger-corgi,0.048743428026509945,1,0.08901637304480997,0.008470483008209916
wolves,0.5527564693124054,1,0.10985059432803754,0.9956623442967732
wooly-mammoth,0.09069858908923331,1,0.18139479702214825,2.3811563183776898e-06
zen-garden-gnome,0.005363683420881125,1,0.01033518667045073,0.000392180171311521
